user_id,group_name,text_index,WPM,resptime,text_input,feedback
user_0,txt,18,52.55,22.84,"to stare, until the lights in the cabin flickered out above him. Fred was confused, this had never happened before.","ertainly apprehensive, too afraid to move, as his pulse quickened at the sight of the strange phenomena occurring around him."
user_0,txt,19,30.47,39.39,"this had never happened before. Still, the outside was lit. The light outside was a pulsing, almost blinding light. The","The train station, desolate at this hour, echoes with the haunting whispers of his childhood, making every minute fraught with unease and anticipation."
user_0,txt,20,85.01,14.12,"was lit. The light outside was a pulsing, almost blinding light. Fred considered getting up and trying to find someo","Fred, gripping the suitcase tighter, tries anxiously to decipher the sources of these strange occurrences, his heart pounding like a drumbeat in the chilling silence."
user_0,txt,21,43.05,27.87,but the darkness inside the train car was suffocating. almostIt seemed like all of the light in the train ha,"startles him at first, but Fred's curiosity gets the better of him, compelling him to investigate the occurrences."
user_0,txt,22,52.89,22.69,"outside, and as he stared he began seeing... things... outside the window. He didn't know what they were, and h","In the eerie silence that follows, a faint but distinct rustling sound sweeps across the deserted platform, raising goosebumps on Fred's arms and turning the atmosphere suddenly cold and heavy."
user_0,txt,23,67.38,17.81,"know what they were, and he supposed that he did not want to know. He considered his options, running, h","Fred clutches the cold steel rail as the train plunges into darkness, the rhythmic clanking echoing his tumultuous thoughts."
user_0,txt,24,24.32,49.34,"or of He didn;t know which to do, or what to do. He didn't even really know what was happening.",expect such unsettling events occurring on a typically mundane journey back to his hometown.
user_0,txt,25,45.79,26.2,"of the things outside the window looked in his direction. He froze, a moment held in time, as their ey",ixed look of horror and disbelief etched across his worn-out features as shadows crept and twisted across the vacant train carriages.
user_0,txt,26,34.31,34.98,"thought. Whatever it was, the creature was rising to its feet. Fred was scared, like he had never been scared","hrough the pitch blackness, its chilling screech piercing the silent night, making Fred's blood run cold as he sat petrified in his seat, peering apprehensively out of the window."
user_0,txt,27,75.53,15.89,"Fred was scared, like he had never been scared before. This thing neveer once took its eyes off of Fred.","ff Fred, which unnerved him greatly. Despite his fear, he couldn't help but feel a strange sense of connection with the creature."
user_0,txt,28,34.58,34.7,as Fred began to realize that the train had ceased all movement. This wasn't right. This wasn't supposed to happen.,"The eerie silence of the halted train is ripped apart by an unnatural hum approaching from the black abyss, while Fred feels an unfathomable dread gnawing at his heart."
user_0,txt,29,42.34,28.34,"was just a trip back home. The creature, having finally gotten to its feet, began lurching towwards the train, and","Fred's attention, advanced relentlessly towards him, its malicious grins revealing a hunger for something more sinister than a late-night conversation."
user_0,txt,30,34.37,34.91,"feet, began lurching towwards the train, and towards Fred.Fred was still frozen, in fear of what would come next. The","next when he felt an icy gust of wind sweeping through the train cabin, indicating an open door or window."
user_0,txt,31,21.82,54.99,"to do next. He slowly stood up, the creature was far and slow moving, but that didn't mean that so","closing in, its eyes glowing in the darkness, its large, crooked silhouette cast on the misty window of the train."
user_0,txt,32,59.95,20.02,mean that something else closer couldn't see him and be coming for him. He had seen multiple of these creatures,"Feeling the cold sweat trickle down his spine, Fred cautiously moved towards the emergency door, the silence pervading the train car echoing with his pounding heart."
user_0,txt,33,51.43,23.33,"multiple of these creatures, and he wondered where the others were now. He gathered all of his strength and vrav","He gathered all of his courage, slowly getting up on trembling legs and desperately searching his mind for anything that could make sense of these nightmarish events."
user_0,txt,34,35.63,33.68,"wits to him, and turned around, ready to run. The train was still dark and still so so silent. YUou",nd the chilling wind seemed to whisper threats through the cracks in the worn windows.
user_0,txt,35,27.93,42.96,"listened for it. Fred wasn't listening though. Maybe if he had been, he would have heard the noise down th","Paralyzed by these chilling visions, Fred pulls down the blinds of the window and tries to reassess his senses, wondering if he has delved into a nightmarish reality or if it's just a result of his throbbing exhaustion."
user_0,txt,36,26.06,46.04,"he had been, he would have heard the noise down the train car. The noise of a slight dragging sound.","udden deafening silence fills the air, making Fred's heart pound heavy against his chest as he frantically scans the dark exterior."
user_0,txt,37,25.5,47.06,"reaching down to grab his briefcase. Whatever was out there, he still had things to do. And somehow, he also","n his path, Fred knew he could neither flee nor fight these otherworldly beings. He was trapped and could only hope for his survival."
user_0,txt,38,52.9,22.68,he also needed to get to his mother's side. Fred decided to go to where he thought there might be,"ecides to confront his fears, investigating the mysterious events and eerie creatures, hoping to make sense of the strange occurrences on his unusual journey home."
user_0,txt,39,46.22,25.96,"be people, the bar car. He would need to go up two train cars to get there, but he was","Floors to reach his berth; a discomforting realisation given the malevolent shadows swaying in the dimly lit corridor, waiting to play with his already tumultuous mind."
user_0,txt,40,24.75,48.48,"to take on whatever was out there in the train cars. He also hoped to find someone else, anyone el","Cars. Armed with nothing but a small flashlight and sheer determination, he began cautiously navigating through the strangely silent cars, each step echoing in the chilling darkness."
user_0,txt,41,33.64,35.67,"to find someone else, anyone else. He began walking up the train car, towards the next one. Suddenly, something grab","One, with every sound of his boot echoing off the metallic walls, tension wrapping him tighter with each step taken."
user_0,txt,42,26.87,44.66,"Whirling, Fred looked around desperately for the source of the touch. He couldn't see anything in the darkness, but h","hesitates for a moment, but then decides to confront his fear, standing up to investigate these alarming phenomena."
user_0,txt,43,54.93,21.85,"but he could FEEL something. Whatever it was, it was staring him down. He could feel its eyes on him,","was in the dead of the night, a silver moon hung faintly in the sky, offering little solace to the ever-darkening world around it. Fred found himself seated in the last cart, utterly alone."
user_0,txt,44,45.13,26.59,"began to slowly take a step backwards, praying he would get away, praying to get someone to help him. Praying","or some reason or method to make sense of the eerie occurrences, when a sudden chilling wind whooshed past him, engulfing the train in a dark fog, only heightening his sense of dread."
user_0,txt,45,30.82,38.94,"to his mother and father. He heard no movement, and felt nothing touching him, so he gathered up his nerves,","othing but the whipping cold wind seeping through the slits of his worn-out jacket, amplifying the sense of daunting isolation enveloping him on the abandoned platform."
user_0,txt,46,53.82,22.3,"turned around, and bolted up the train car. He tried his best to ignore the noises behind him. A funny","He tried desperately to ignore the ghastly apparitions, focusing instead on the rhythmic clatter of the wheels and the thoughts of his father."
user_0,txt,47,32.18,37.3,"the noises behind him. A funny hissing sound, almost like a snake. His feet pounded against the floorboards underneath him,","the desolate train floor, echoing ominously in the silent carriage, while his heart thumped in sync with the haunting chug of the transport."
user_0,txt,48,40.27,29.8,than he ever had before. Fred was fueled by fear and the desire to get the dickens out of there.,"etermination to reach his father, every chord of his heart strummed with deep-sewn anxiety and a ray of undying hope."
user_0,txt,49,55.97,21.44,out of there. He didn't stop running until he almost slammed into the train car door in front of him.,"oor. His heart pounded in his chest like a frantic drummer, matching the rhythm of the eerie silence that enveloped him within the deserted carriage."
user_0,txt,50,35.13,34.16,"Thinking quickly, he ripped it open, stepped through, and then slammed it hard behind him. Something thudded against the door.","His heart pounding in his chest, he struggles to maintain his sanity, constantly questioning whether these apparitions are real or just figments of his overworked imagination."
user_0,txt,51,47.67,25.17,doorknob and saw a tiny locking mechanism. He flipped that up and hoped to god that it held. Itb se,"bit by reminiscing about his favorite childhood memories of trains. He had once associated trains with adventure, but now, they only signified impending fear and danger."
user_0,txt,52,60.34,19.89,"to god that it held. Whatever it was, it slammed against the door repeatedly before silence was heard once again.","Once again. Gathering his strength, Fred edged closer to the door, his heart pounding in his chest."
user_0,txt,53,32.48,36.94,"on the outside of the train car, and realized that that meant he was a sitting duck for whatever was","e was exposed. In the daunting darkness, something moved with a menacing agility, sparking primal fear within him."
user_0,txt,54,25.62,46.85,"for whatever was out there. He quickly looked around, but didn't see anything close by or anything far away now/","ther than the dim lights of the carriage flickering intermittently, casting long, dancing shadows that seem to take on forms of their own."
user_0,txt,55,45.4,26.43,"now. He wondered if the thing inside the train car could be the creature that had been outside, perhaps movin",een haunting him in his nightmares. The memory of its grotesque form and the chilling sound it made was still fresh in his mind.
user_0,txt,56,25.49,47.09,"that it was in the darkness. Perhaps that was the answer, the light. Fred turned towards the next train ca","akes a deep breath, gathering his courage while his mind races to make sense of the bizarre happenings surrounding him."
user_0,txt,57,26.93,44.56,"He grabbed hold of it, pushing it open a crack. He put his ear to the crack, listening for any","Confused and scared, he desperately tries to escape, but it seems like the ghostly presence is always a step ahead, turning every corner of the train into a maze of terror."
user_0,txt,58,26.63,45.06,"ordinary. Hearing nothing, Fred pushes the door all the way open. Seeing nothing, he steps through and over the thres","bit and peeks outside, only to find shadows moving swiftly through the faintly lit, narrow train corridor, heightening his sense of dread and the need for caution."
user_0,txt,59,47.74,25.14,"over the threshold. He turns and closes the door behind him, knowing there is only this car ahead of h","Finding the carriage empty, Fred breathes a sigh of relief, his heart hammering in his chest as he desperately tries to decode the strange happenings in the train."
user_0,txt,60,40.34,29.74,"him before he would reach the bar car. Hopefully he would find people there, people that might know what was",Find some means to defend himself against these frightful creatures and reach his ailing father in time.
user_0,txt,61,101.85,11.78,"people there, people that might know what was happening, or at least that were able to help figure it out.","Every harsh clang and screech from the wheels against the iron track just further intensified his sense of urgency and dread, pushing him to seek solace among unfamiliar faces in the bar car."
user_0,txt,62,20.58,58.3,"continued on, hoping against hope that he wouldn't see or hear anything. The lights in this car seemed to all","In the dimly lit space, Fred's heart pounded in his chest, the eerie silence echoing all around him, amplifying his feelings of dread and solitude."
user_0,txt,63,35.61,33.69,"car seemed to all be on.He glanced around at the seats surrounding him, seeing no friendly faces to speak to.","o offer any comfort, only shadowy figures lurking at the corners of his vision, their intentions unclear and unsettling."
user_0,txt,64,27.43,43.74,"car quietly, still listening intently to the noises around him. It was much easier to hear, now that the tr","idnight when Fred spotted a flickering apparition in the compartment, its ghostly features distorted through the frosted train window."
user_0,txt,65,52.31,22.94,"hear, now that the train is off and empty, he thought. But did he really want that? He wasn't sure.","found himself surrounded by a chilling silence, broken only by the rattling train and a feeling of dread intensifying by the minute."
user_0,txt,66,31.28,38.36,see some luggage. Like someone had been here and had just left. Maybe they had had the same idea that,"minute ago, the bar car was oddly warm and untouched, as if waiting for his arrival, yet eerily silent, further amplifying his mounting fears."
user_0,txt,67,123.34,9.73,just left. Maybe they had had the same idea that Fred had had and had gone towards the bar car.,"abin at the end of the train car, searching for safety and support in the face of the unknown."
user_0,txt,68,32.02,37.48,"would only tell, he thought, as he continued his way towards the next door in front of him. Silence surrounded","Facing the unknown perils behind it, he steeled himself, clutched the locket his mother had once given him for courage, and slowly pushed the door open."
user_0,txt,69,15.69,76.48,"was almost stsFred continued to slowly walk, scanning the rows around him. Still more luggage sat on the floor, left","pilled out from the overhead shelf, bouncing onto empty seats and the train car's floor, adding chaos to the already panic-filled situation."
user_1,txt,0,17.21,69.74,ago that carried people from all over to places all over the world. A woman named Charlotte used to t,"""ramshackle station, though old, served as the conduit for a myriad of stories yet to be unveiled in their journey."""
user_1,txt,1,16.1,74.55,"everywhere, including to visit her family and loved ones. This train carried people of all kinds, from all different background,","Despite the long hours of travel, Charlotte enjoyed the journey as it gave her time to absorb the ever-changing scenery outside the train window."
user_1,txt,2,25.19,47.64,"all different background, and all different life experiences. On this train, people would connect with one ano was a pl","Charlotte, a warm-hearted woman with an adventurous spirit, found the rhythm of the wheels on the tracks almost therapeutic, as she traveled to different regions to catch up with her scattered kin."
user_1,txt,3,23.5,51.06,creating long lasting memories with the people they met along the way as they made their way to their destination.,"On these journeys, she met fascinating characters from different walks of life, enriching her perspectives and enhancing her understanding of the world."
user_1,txt,4,34.81,34.47,as they made their way to their destination.aimedThere was a back home to her loved ones from a long trip,"ome every year, reconnecting with fragments of her past, shaping and reshaping her life's story on the journey."
user_1,txt,5,9.78,122.68,long trip wanted toak plannedafor work. She took this same exact trip at the same time every year and found,"same age as her fellow passenger, a young software engineer named Tim, who is on his first overseas adventure."
user_1,txt,6,34.44,34.84,to leave her family behind. It got lonely after a while of being in an isolated place when she was,"eing away from her loved ones, but she found solace in the company of her fellow passengers and the rhythm of the tracks."
user_1,txt,7,16.98,70.67,an isolated place; she soon found solace in the company of her fellow passenger and the rhythm of the tracks.,"the constant clacking and churning of the train engine. Each passenger brought stories from corners of the world, making her feel less alone and more adventurous."
user_1,txt,8,20.6,58.25,that same morning with harsh feelings of sadness and longing to be back home with her beloved husband and children.,"her loving family, to enjoy the warmth of her mother's homemade cooking and the comforting laughter of her younger siblings."
user_1,txt,9,37.26,32.21,thought of enjoying a warm homecooked meal and hearing the sound of her children in the distance made her heart,"Playing in the background weighed heavily on her heart, filling her with a bittersweet longing, Yet, some comfort could be found in shared tales of homesickness around the dinner table in the train's dining car."
user_1,txt,10,21.92,54.73,the distance made her heart sing. Instead she woke up to the sound of her aggresively loud alarm clock that,"hat was set for six in the morning, a harsh reminder of her upcoming journey."
user_1,txt,11,92.05,13.04,"woke up to the sound of her aggresively loud alarm clock set for six in the morning, telling her it",hockingly reminding her of the harsh reveille back at home. The stark contrast between her cozy dreams and the reality was jarring.
user_1,txt,12,18.28,65.66,"six in the morning, telling her it was time for yet another day of isolationin a hotel r, though to","Feeling a dull ache in her heart, she hesitantly rolled out of the bed, glancing at the family photo by her bedside, a reminder of the life she temporarily left behind."
user_1,txt,13,86.6,13.86,"time for yet another day of isolationin a hotel r, though to feeling of home was soon to come. most","her, all the days started blurring into one continuous train trip, each station a monotonous repetition of the previous."
user_1,txt,14,7.28,164.91,"famiAll the da All the days started blurring into one continuous train trip, each station a monotonous repetition of th","xcept for the one week of the year she spent at home with her family, where time seemed to move differently."
user_1,txt,15,7.14,168.1,"repetition of the previousEarlier that The train finally arrived. The warm energy of family, loved ones was near. But before","Bearing a heavy heart and wearied eyes, she observes each passing landscape, her thoughts punctuated by the rhythmic click-clack of the train's wheels, echoing the vicissitudes of her life."
user_1,txt,16,9.28,129.31,"to this moment, was the dreaded business trithhappiness andWith all of the amazing things this train held experience and people","Yet, as the scenic countryside rolls past her window, a sense of melancholy washes over her, a stark reminder of the transience of time and the distance from home."
user_1,txt,17,77.96,15.39,"business trithhappiness andWith all of the amazing things this train held experience and peopldiverse and amazing , Charlotte could neve","One day, her usual solitude was stirred by an unexpected meeting with an elderly gentleman named George who often shared captivating stories from his adventurous life."
user_1,txt,18,7.41,161.98,the trip The day soon came to a close and it was time to finally take the next steps to,"as time for her last business meeting. With a sigh, she gathered her notes, longing for the journey back."
user_1,txt,19,13.75,87.3,"place of familiarityAs time her last business It was soon meeting. With a sigh, she gathered her notes, longing fo","Settling herself comfortably into her cabin seat, Charlotte was filled with a mix of sweet melancholy and anticipation, planning to use this journey to reflect on her experiences and prepare for her awaited homecoming."
user_1,txt,20,16.13,74.41,"the hourney back home. . Settling herself comfortably into her cabin seat, Charlotte was filled with a mix of s","Seat, she gazes out the window, taking in the passing scenery as her thoughts drift back to warm home-cooked meals and bedtime stories shared with her children."
user_1,txt,21,9.33,128.64,"she reminisced on sweet memories of famil; arrivehome, As she sits comfortably, another young woman sits accross from her. S","few seats away, engrossed in a book, seemingly oblivious to her surroundings and the many stories unfolding around her."
user_1,txt,22,22.71,52.85,then reaches for her book and begins reading quietly. Charlotte recognizes the book and hesitates to ask her about it.,"passenger across her is reading; it's her son's favorite novel, which brings a smile on her face, as she reminisces the bedtime stories."
user_1,txt,23,34.97,34.31,"her son's favorite novel, which brings a smile to her face as she reminisces to memories made with her t","he brushes her fingers against the book's worn-out cover, the nostalgia washing over her with every creased page she turns over, making her heart yearn for home even more."
user_1,txt,24,23.48,51.11,"to memories made with her children. In this moment, she begins to reflect upon her experiences as a mother. S",other and the sacrifices that she has made. She remembers the early days of her children's lives with a hint of nostalgia and a pang of loneliness.
user_1,txt,25,18.86,63.61,another person reading a book that she's familiar with brings upon a new persepctive about creating connections with others. Fa,"strangers. The words that she had previously read alone in her solitude were now shared, giving them a deeper, more enriching meaning."
user_1,txt,26,67.29,17.83,she's familiar with brings upon a new persepctive about creating connections with others. The words that she had previously reas,"As she settles into her seat, she can't help but keep her gaze on the dog-eared copy of ""Pride and Prejudice"" on her seatmate's lap, a silent invitation to an unexpected conversation."
user_1,txt,27,35.12,34.17,"had previously read with her children are now shared, bringing a new meaning to light. The importance of connection and","Caught in the midst of her nostalgic thoughts, she begins to see the parallel between the stories in the book and her own life journey."
user_1,txt,28,38.14,31.46,experience suddenly came to light as she sat on the train watching the sun se slowly ascend into the mountains.,"et upon the bustling cityscape, the hustle and bustle fading into the distance along with her usual solitary mindset."
user_1,txt,29,24.93,48.13,mountains. The importance of human connection and solidaritySeeing another woman reading this books reminds her of the. She arrives home,"Feeling a sudden surge of emotion, Charlotte hesitates before approaching the woman, driven by a desire to discuss their shared affinity for the cherished tale."
user_1,txt,30,26.24,45.72,"surge of emotion, Charlotte hesitates before approaching the woman, driven by a desire to discuss their shared affinity for the","She arrives home and finds solace in the return to her loved ones, their presence alone strengthening her and soothing the exhaustion from her journey."
user_1,txt,31,30.55,39.28,"discuss their shared affinity for the cherished tale., feeling a sense of solace in the retuen to her loved ones.","nes, bringing with her newfound perspectives and a greater appreciation for the simplicity of her everyday life."
user_1,txt,32,15.64,76.74,"to thatiothat there is an importance toThrough this experienceough no words were shared, she found connection with another person. T","understanding and cherishing the seemingly trivial moments in life, recognizing that these instances often hold profound personal significance."
user_1,txt,33,24.61,48.77,found connection with another person. Tsense o This experience brought her understanding an that these small moments can often hol,"that we sometimes overlook the value of personal bonds, engrossed in the mirage of professional achievements and materialistic pursuits."
user_1,txt,34,12.77,93.97,"understanding an that these small momentsWe sometimes overlook the value of personal bonds, engrossed in the mirage of professional c","""Of our shared traditions and experiences that bring us together as families and communities, but it is during these trips that Charlotte is reminded of their importance."""
user_1,txt,35,35.5,33.8,"engrossed in the mirage of professional achievments and pursuits. Family means everything to her, but what else is out there?",s there in this world that could fulfill her longing? She is yet to realize that sometimes it's the journeys we embark on that become our true homes.
user_2,txt,0,18.84,63.71,"arrived at the station but it was twenty minutes late and the two girls, aged 15 and 17 needed to","piece, were visibly frustrated. They feared they might miss their connection to their final destination."
user_2,txt,1,23.57,50.91,get on this train before their foster parents found out that they were missing and come looking for them. T,"ooking for them. Their hearts hammered with anticipation as they slipped into the last carriage, breathless and driven by a strong sense of desperation."
user_2,txt,2,19.62,61.15,for them. Finally the train pulled into the station and the doors opened up and Sara 15 and Jessica 17,"7 carefully stepped in, their hearts pounding with anticipation and fear."
user_2,txt,3,18.8,63.83,hearts pounding with anticipation and fear. They slipped into the very back seats and tried to tell each other e,"o blend in, their hearts pounding with each suspicious glance from the other passengers."
user_2,txt,4,20.86,57.53,"each other that everything will be OK, but they could feel the suspicious glances from the other passengers, so they","Few stops later, a burly, bearded man directly across from them had been watching too intently, furrowing his brow with a curiosity that ignited their fear even more."
user_2,txt,5,18.25,65.76,"few stops later, a big burly man sat directly across from them and kept looking at both of them too","kept a sharp, unflinching gaze on the girls, making their hearts pound with an increasing sense of fear and uncertainty."
user_2,txt,6,18.03,66.55,them too suspiciously and this made Sara's heart pound and Jessica could not take her eyes off of the man,"yes off the man. Though scared, she managed to muster a faint smile at him, trying to lessen the tension in the air."
user_2,txt,7,19.07,62.93,"a faint smile at him, trying to lessen the sickening feeling she was getting in the pit of her s","Her thumping heart lessened slightly as the man's gaze shifted away, leaving the girls shrouded in the partial anonymity the dimly lit train provided."
user_2,txt,8,24.65,48.69,was getting in the pit of her stomach. Sara on the other hand was feeling a little better whenfthe man,"she was able to find a vacant seat in the corner, away from the prying eyes of curious passengers."
user_2,txt,9,14.7,81.61,"out the window. Finally, the they reached their desination and has they walked to the front of the bus with","owards the unfamiliar streets, they clung tightly to each other, praying silently for their safety and success in this daring escape."
user_2,txt,10,24.56,48.86,"of the bus with their bags in hand, they walked off the train towards the unfamiliar streets. They clung tightly","Their hearts pound relentlessly as they clutch their tiny, worn-out backpacks, barely containing the few mementos they've manged to salvage from their shattered past."
user_2,txt,11,9.49,126.49,arrived and Sara and her younger sister Sara were waiting hearts pounding with worry in their eyes. Both of them,"With eyes wide open and bodies trembling with excitement, they hastily stepped onto the busy train, scanning over the sea of unfamiliar faces."
user_2,txt,12,29.34,40.9,"ran away from their newest foster family and they were so scared that their foster ""parents"" were on their way","eet were trembling uncontrollably. Staring blankly at the empty tracks, they clutched each other's hands for comfort."
user_2,txt,13,30.49,39.36,way to find them. The doors slowing opened and the girls slowly walked to the back of the train wh,"ack of the train, trying their best to blend in with the other passengers and not draw attention to their obvious youthful appearance and their suspiciously large backpacks."
user_2,txt,14,24.24,49.51,of the train trying their best to blend in and not draw so much attention to themselves or their suspiciously,"mall, hastily-packed backpacks. They kept their heads down, their hearts pounding in their chests, as the picturesque countryside whipped by outside the train windows."
user_2,txt,15,11.41,105.15,contained clothes and the few memotos from their past with their real family. The train slowly pulled down the tracks,"ulls out of the station, a soft screech echoing through the night, the only evidence of their daring escape being a pair of lost gloves on the platform."
user_2,txt,16,20.9,57.41,the tracks and a soft screech echoing in the night was the only evidence of their daring escape was Sara's,"Next, as they clung tightly to their belongings, Sara peered through the window, seeing only the blurring lights from distant towns while everything else was swallowed by the enveloping darkness."
user_2,txt,17,19.61,61.2,"left on the train platform. Next, as they clung tightly to one another, Jessica peered through the window and s","hrough the window, watching as the familiar sights of their small town faded into the distance, replaced by the unknown landscapes of their new adventure."
user_2,txt,18,21.33,56.27,"saw what they were running to, their small town where they were most happy at and felt the mosted loved.","distance. The sight of familiar, comforting landscapes grew nearer, bringing a small, hopeful smile to her face."
user_2,txt,19,21.09,56.9,The sight of familiar comforting landscapes grew closer and closer and this brought a smile to each of the girl's,"o their faces, a sense of warmth and freedom seeping through their hearts at the thought of returning home after so long."
user_2,txt,20,21.44,55.96,A sense of excitement and a sense of freedom filled the air and in their hearts as the thought of,earts as they contemplated the adventures and challenges that lay ahead in their quest to go back home.
user_2,txt,21,18.21,65.91,"to their sweet grandparents. Finally, the train arrived at their home town and all the girls could think of was","welcome wave of familiarity washed over them, their hearts pounding with anticipation and a tinge of apprehension at the prospect of reuniting with their grandparents after so long."
user_2,txt,22,22.2,54.05,of was reuniting with their grandparents after so long. The girls got off the train and walked the short distanc,"little after dawn, sleep-deprived but filled with a simmering excitement, hand in hand, they took their first steps into their past, their memories clinging to each corner."
user_2,txt,23,2.48,483.48,walked up the walk and knocked on the door.... Their grandparents slowly opened the door and to their surprise there,"crack, unsure of who could be visiting at such a late hour. Their eyes widened with amazement as they recognized their long-lost granddaughters."
user_2,txt,24,18.25,65.74,"surprise there stood Jessica and Sara, and their eyes widened as they recognized their two long-lost granddaughters. They all started","Their hearts are filled with a mixture of excitement and anxiousness, not knowing what to expect after such a long absence."
user_2,txt,25,20.26,59.22,"hugging one another and all four of them were filled with both excitement and anxiouseness, not knowing what to ex","Next, they began sharing stories and cherished memories over dinner, an act which greatly helped to alleviate their built up anxiety and nervousness."
user_2,txt,26,29.6,40.55,to expect after not seeing each other for a long time. It was late and the girls were so tired,"ere tired, but the sight of their grandparents' small house nestled in the village ignited their energy."
user_2,txt,27,27.6,43.48,was a nice soft bed and warm blankets and for their grandmother to tell them they everything will be o,uck them in just like she used to when they were younger.
user_2,txt,28,21.84,54.94,is exactly what she did she kissed them bothbgoodnight and tucked them in like she did so many times when,"them into their old, familiar beds, whispering comforting stories of their childhood until their eyes slowly closed, drifting them into peaceful sleep."
user_2,txt,29,18.74,64.05,so many times when they were younger. Sara and Jessic closed their eyes and drifted off to a peaceful sleep.,"""Sara and Jessica closed their eyes and drifted off to a peaceful sleep, their dreams filled with hopeful tomorrows in the comfort of their grandparents' home."""
user_2,txt,30,17.53,68.46,a peaceful sleep. Both girls dreamed about hopeful days ahead in the comfort of their grandparents nice and cozy home.,"ouse, surrounded by their grandparents' love and warmth, filled with laughter and stories from the past."
user_2,txt,31,18.17,66.04,were home and that no one would ever hurt them again and that their days ahead would be filled wth,"Days would be filled with joy, love, and family warmth, wrapped in the blanket of their grandparents' undying protection."
user_2,txt,32,27.58,43.51,"would be filled with joy, love, and family warmth and they would be wrapped in the blanket of their grandparent","Heir grandparents' unconditional love, but they also knew that re-adjusting to a life of normalcy would require time, patience and strength."
user_3,txt,0,14.15,84.83,Matsumoto had arrived in Shinjuku station. He had came to visit his brother. That was his original plan. The day,is first trip to Tokyo and he felt a mixture of excitement and nervousness.
user_3,txt,1,35.91,33.41,"started out like any other day. Matsumoto woke up around 7 AM, got out of bed, watered his two plants","ed, and immediately began preparing for the day. He had a quick breakfast, took a shower, and dressed in his favorite casual outfit."
user_3,txt,2,48.05,24.98,"day started out like any other day. Matsumoto woke up around 7 AM, got out of bed and thanked god","and proceeded to do his typical morning routine before heading out the door, eager to see his brother after quite some time."
user_3,txt,3,35.79,33.53,first thing he did when he woke up in the morning. This had been a habit he developed over time,"e woke up, cherishing their vibrant leaves and blossoming buds as symbols of his own growth and potential."
